datetime_utc,longitude,latitude,easting_m,northing_m,ortho_ht_m
2018-Jul-25 22:50:12.000,-123.5622461,48.1451565,296980.11,130921.21,1.07
2018-Jul-25 22:50:13.000,-123.5622484,48.1451610,296979.96,130921.73,1.12
2018-Jul-25 22:50:14.000,-123.5622505,48.1451655,296979.82,130922.23,1.12
2018-Jul-25 22:50:14.000,-123.5622524,48.1451701,296979.70,130922.74,1.13
2018-Jul-25 22:50:15.000,-123.5622542,48.1451746,296979.58,130923.25,1.13
2018-Jul-25 22:50:15.000,-123.5622581,48.1451793,296979.30,130923.78,1.13
2018-Jul-25 22:50:16.000,-123.5622630,48.1451835,296978.96,130924.26,1.12
2018-Jul-25 22:50:17.000,-123.5622662,48.1451884,296978.74,130924.81,1.16
2018-Jul-25 22:50:17.000,-123.5622674,48.1451942,296978.67,130925.46,1.12
2018-Jul-25 22:50:18.000,-123.5622703,48.1451994,296978.48,130926.05,1.11
2018-Jul-25 22:50:18.000,-123.5622737,48.1452046,296978.25,130926.64,1.11
2018-Jul-25 22:50:19.000,-123.5622769,48.1452098,296978.03,130927.22,1.11
2018-Jul-25 22:50:20.000,-123.5622791,48.1452151,296977.88,130927.81,1.13
2018-Jul-25 22:50:20.000,-123.5622782,48.1452208,296977.97,130928.45,1.10
2018-Jul-25 22:50:21.000,-123.5622768,48.1452259,296978.10,130929.01,1.13
2018-Jul-25 22:50:22.000,-123.5622792,48.1452313,296977.94,130929.62,1.13
2018-Jul-25 22:50:23.000,-123.5622817,48.1452375,296977.78,130930.31,1.13
2018-Jul-25 22:50:23.000,-123.5622848,48.1452427,296977.57,130930.89,1.11
2018-Jul-25 22:50:24.000,-123.5622849,48.1452493,296977.59,130931.63,1.07
2018-Jul-25 22:50:25.000,-123.5622857,48.1452595,296977.57,130932.77,1.06
2018-Jul-25 22:50:26.000,-123.5622837,48.1452655,296977.74,130933.43,1.08
2018-Jul-25 22:50:27.000,-123.5622818,48.1452714,296977.91,130934.08,1.06
2018-Jul-25 22:50:27.000,-123.5622771,48.1452760,296978.27,130934.58,1.13
